id,title,Pinterest board,description,link,media URL,availability,condition,price,sale_price,brand,google_product_category,additional_image_link,age_group,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,product_type,item_group_id,gender
228,"30"" Macro Traveler Aluminum Hardside Checked Luggage",Best Luggage Products,"Explore 30"" Macro Traveler Aluminum Hardside Checked Luggage in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/41nnB3UpNfL._AC_UL320_.jpg,in stock,new,999.0 USD,999.0 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/41nnB3UpNfL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,228,unisex
229,2023 Terminal Bag,Best Bags Products,"Explore 2023 Terminal Bag in the bags category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/bags/page1.html,https://m.media-amazon.com/images/I/711u8UbhjPL._AC_UL320_.jpg,in stock,new,221.05 USD,221.05 USD,TechPickHub,"Apparel & Accessories > Handbags, Wallets & Cases",https://m.media-amazon.com/images/I/711u8UbhjPL._AC_UL320_.jpg,adult,bags,best-seller,amazon-products,techpickhub,shopping,bags,229,unisex
230,"Sheen 31"" Hardside Checked 8 Wheel Expandable Spinner, Marmo Rose Print, 32""",Best Other Products,"Explore Sheen 31"" Hardside Checked 8 Wheel Expandable Spinner, Marmo Rose Print, 32"" in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1.html,https://m.media-amazon.com/images/I/614OF31YkYL._AC_UL320_.jpg,in stock,new,141.63 USD,141.63 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/614OF31YkYL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,230,unisex
231,"Designer Luggage Collection - Expandable 28 Inch Softside Bag for Men & Women - Durable Lightweight Checked Suitcase with 4-Rolling Spinner Wheels (28in, Global Black)",Best Luggage Products,"Explore Designer Luggage Collection - Expandable 28 Inch Softside Bag for Men & Women - Durable Lightweight Checked Suitcase with 4-Rolling Spinner Wheels (28in, Global Black) in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/81i7e40zGdL._AC_UL320_.jpg,in stock,new,165.99 USD,165.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/81i7e40zGdL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,231,unisex
232,"IMPRESSION Luggage, Suitcase with 4 Double Spinner Quiet Wheels, TSA Zipper Lock, Waterproof Compartment, 28-Inch, White",Best Luggage Products,"Explore IMPRESSION Luggage, Suitcase with 4 Double Spinner Quiet Wheels, TSA Zipper Lock, Waterproof Compartment, 28-Inch, White in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/51PEqIUpOrL._AC_UL320_.jpg,in stock,new,359.99 USD,359.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/51PEqIUpOrL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,232,unisex
233,"Split Roller 110L - Woodland Floral, One Size",Best Other Products,"Explore Split Roller 110L - Woodland Floral, One Size in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1.html,https://m.media-amazon.com/images/I/81a5Nu9IFnL._AC_UL320_.jpg,in stock,new,265.0 USD,265.0 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/81a5Nu9IFnL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,233,unisex
234,"Thicker Luggage Cover Elastic Suitcase Cover Protector Fits 18-32 Inch Suitcase Travel Accessories (World Map, L)",Best Luggage Products,"Explore Thicker Luggage Cover Elastic Suitcase Cover Protector Fits 18-32 Inch Suitcase Travel Accessories (World Map, L) in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/51K1r5Rn0tL._AC_UL320_.jpg,in stock,new,18.99 USD,18.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/51K1r5Rn0tL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,234,unisex
235,Gigabit Luggage Protector Case Clear PVC Luggage Cover Suitcase Protector Cover for Spinner Wheels Suitcase (30''(27.16''H x 19.68''L x 12.99''W)),Best Luggage Products,"Explore Gigabit Luggage Protector Case Clear PVC Luggage Cover Suitcase Protector Cover for Spinner Wheels Suitcase (30''(27.16''H x 19.68''L x 12.99''W)) in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/71R-L7jTBHL._AC_UL320_.jpg,in stock,new,19.99 USD,19.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/71R-L7jTBHL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,235,unisex
236,"2Pcs Luggage Suitcase Wheel Left and Right Luggage, Swivel Wheels Replacement Accessory for Trolley",Best Pc Products,"Explore 2Pcs Luggage Suitcase Wheel Left and Right Luggage, Swivel Wheels Replacement Accessory for Trolley in the pc category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/pc/page1.html,https://m.media-amazon.com/images/I/51Ki5E4pZDL._AC_UL320_.jpg,in stock,new,22.79 USD,22.79 USD,TechPickHub,Electronics > Computers,https://m.media-amazon.com/images/I/51Ki5E4pZDL._AC_UL320_.jpg,adult,pc,best-seller,amazon-products,techpickhub,shopping,pc,236,unisex
237,X-Bag Large Spinner with Frame - 30 Inch - Suitcases with Wheels - Checked Luggage - Silver,Best Luggage Products,"Explore X-Bag Large Spinner with Frame - 30 Inch - Suitcases with Wheels - Checked Luggage - Silver in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/61gtPE89olL._AC_UL320_.jpg,in stock,new,280.0 USD,280.0 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/61gtPE89olL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,237,unisex
